age,qx,probability
25,0.002272,0.002272
26,0.002259,0.002259
27,0.002228,0.002228
28,0.00218,0.00218
29,0.002123,0.002123
30,0.00206,0.00206
31,0.001995,0.001995
32,0.001936,0.001936
33,0.001888,0.001888
34,0.001857,0.001857
35,0.001847,0.001847
36,0.001858,0.001858
37,0.001888,0.001888
38,0.001932,0.001932
39,0.001988,0.001988
40,0.002052,0.002052
41,0.002121,0.002121
42,0.002194,0.002194
43,0.002266,0.002266
44,0.002336,0.002336
45,0.002512,0.002512
46,0.002671,0.002671
47,0.00284,0.00284
48,0.003021,0.003021
49,0.003213,0.003213
50,0.003417,0.003417
51,0.003861,0.003861
52,0.004362,0.004362
53,0.004924,0.004924
54,0.005551,0.005551
55,0.006252,0.006252
56,0.007033,0.007033
57,0.007903,0.007903
58,0.008872,0.008872
59,0.009948,0.009948
60,0.011143,0.011143
